"id","symbol","date","open","high","low","close","adj_close","volume","provider"
"27500","SPY","2000-03-09 01:00:00+01","137.25","140.875","136.125","140.875","88.74292755126953","5500900","Yahoo"
"27501","SPY","2000-03-10 01:00:00+01","140.1875","142","139.53125","140.125","88.27049255371094","7924600","Yahoo"
"27502","SPY","2000-03-13 01:00:00+01","136.6875","140.46875","135.6875","138.59375","87.305908203125","10540500","Yahoo"
"27503","SPY","2000-03-14 01:00:00+01","139.28125","140.09375","136.15625","136.625","86.0656967163086","8263900","Yahoo"
"27504","SPY","2000-03-15 01:00:00+01","136.875","140.4375","136.0625","139.8125","88.07366180419922","10300800","Yahoo"
"27505","SPY","2000-03-16 01:00:00+01","141.625","146.84375","140.875","146.34375","92.18795013427734","25601400","Yahoo"
"27506","SPY","2000-03-17 01:00:00+01","145.8125","148","145.4375","146.9375","92.7972412109375","10272900","Yahoo"
"27507","SPY","2000-03-20 01:00:00+01","146.875","147.34375","144.78125","146.1875","92.3235855102539","12502300","Yahoo"
"27508","SPY","2000-03-21 01:00:00+01","145.53125","149.75","144.5","149.1875","94.2181625366211","13612600","Yahoo"
"27509","SPY","2000-03-22 01:00:00+01","149.5625","150.84375","148.6875","150.09375","94.79052734375","8260000","Yahoo"
"27510","SPY","2000-03-23 01:00:00+01","149.15625","153.46875","149.15625","152.65625","96.40887451171875","11654500","Yahoo"
"27511","SPY","2000-03-24 01:00:00+01","152.875","155.75","151.71875","153.5625","96.98115539550781","11462900","Yahoo"
"27512","SPY","2000-03-27 02:00:00+02","153.375","153.78125","151.8125","151.9375","95.95489501953125","8798600","Yahoo"
"27513","SPY","2000-03-28 02:00:00+02","151.25","152.984375","150.59375","151.0625","95.40233612060547","6334400","Yahoo"
"27514","SPY","2000-03-29 02:00:00+02","151.5625","152.484375","149.65625","151.21875","95.50101470947266","6747500","Yahoo"
"27515","SPY","2000-03-30 02:00:00+02","150.15625","151.921875","147.125","148.6875","93.90242004394531","9491900","Yahoo"
"27516","SPY","2000-03-31 02:00:00+02","149.625","152.3125","148.4375","150.375","94.9681625366211","9249100","Yahoo"
"27517","SPY","2000-04-03 02:00:00+02","150.125","151.25","148.6875","151.25","95.52074432373047","8508200","Yahoo"
"27518","SPY","2000-04-04 02:00:00+02","151.75","153","141.390625","150.125","94.81025695800781","19585500","Yahoo"
"27519","SPY","2000-04-05 02:00:00+02","147.875","150.8125","147.625","149.1875","94.2181625366211","8387200","Yahoo"
"27520","SPY","2000-04-06 02:00:00+02","150.25","151.6875","149","150.484375","95.03721618652344","6378500","Yahoo"
"27521","SPY","2000-04-07 02:00:00+02","151.5625","152.125","150.5","151.4375","95.63916778564453","6023600","Yahoo"
"27522","SPY","2000-04-10 02:00:00+02","151.75","153.109375","150.3125","150.84375","95.26419067382812","9624200","Yahoo"
"27523","SPY","2000-04-11 02:00:00+02","150","151.625","148.375","150.40625","94.98786926269531","9006400","Yahoo"
"27524","SPY","2000-04-12 02:00:00+02","150.375","151.15625","146.15625","146.28125","92.38278198242188","10779200","Yahoo"
"27525","SPY","2000-04-13 02:00:00+02","147.46875","148.15625","143.78125","144.25","91.09993743896484","12225800","Yahoo"
"27526","SPY","2000-04-14 02:00:00+02","142.625","142.8125","133.5","136","85.88971710205078","29604000","Yahoo"
"27527","SPY","2000-04-17 02:00:00+02","135.1875","140.75","134.6875","140.75","88.88959503173828","23918200","Yahoo"
"27528","SPY","2000-04-18 02:00:00+02","140.5625","144.46875","139.78125","144.46875","91.23810577392578","11069200","Yahoo"
"27529","SPY","2000-04-19 02:00:00+02","144.5","145.125","142.53125","143.125","90.38948822021484","6553700","Yahoo"
"27530","SPY","2000-04-20 02:00:00+02","143.5625","143.9375","142.375","143.8125","90.82367706298828","8537600","Yahoo"
"27531","SPY","2000-04-24 02:00:00+02","141.5","143.3125","140.5","142.25","89.83686065673828","12893100","Yahoo"
"27532","SPY","2000-04-25 02:00:00+02","144.625","148.15625","144.4375","148.15625","93.56692504882812","14102000","Yahoo"
"27533","SPY","2000-04-26 02:00:00+02","147.96875","148.75","146","146.484375","92.51106262207031","7711100","Yahoo"
"27534","SPY","2000-04-27 02:00:00+02","143","147.34375","143","146","92.20510864257812","15595300","Yahoo"
"27535","SPY","2000-04-28 02:00:00+02","147","147.859375","145.0625","145.09375","91.63280487060547","8743400","Yahoo"
