"id","symbol","date","open","high","low","close","adj_close","volume","provider"
"49376","SXR8.DE","2024-10-08 02:00:00+02","548.4600219726562","554.2000122070312","548.0999755859375","553.8400268554688","553.8400268554688","33752","Yahoo"
"49377","SXR8.DE","2024-10-09 02:00:00+02","553.97998046875","558.8400268554688","553.4199829101562","558.8400268554688","558.8400268554688","32300","Yahoo"
"49378","SXR8.DE","2024-10-10 02:00:00+02","560.1799926757812","561","557.9000244140625","560.2000122070312","560.2000122070312","28545","Yahoo"
"49379","SXR8.DE","2024-10-11 02:00:00+02","559.280029296875","562.7000122070312","557.7000122070312","561.739990234375","561.739990234375","31243","Yahoo"
"49380","SXR8.DE","2024-10-14 02:00:00+02","563.0800170898438","568.2999877929688","562.8200073242188","567.0800170898438","567.0800170898438","26260","Yahoo"
"49381","SXR8.DE","2024-10-15 02:00:00+02","569.9199829101562","570.260009765625","566.1199951171875","567.1400146484375","567.1400146484375","45617","Yahoo"
"49382","SXR8.DE","2024-10-16 02:00:00+02","566.1199951171875","567.3800048828125","564.4000244140625","566.8200073242188","566.8200073242188","29553","Yahoo"
"49383","SXR8.DE","2024-10-17 02:00:00+02","570.5999755859375","575.5800170898438","570.2999877929688","572.3800048828125","572.3800048828125","34874","Yahoo"
"49384","SXR8.DE","2024-10-18 02:00:00+02","571","572.0800170898438","569.719970703125","571.1400146484375","571.1400146484375","29304","Yahoo"
"49385","SXR8.DE","2024-10-21 02:00:00+02","571.719970703125","572.5399780273438","569.5","569.8200073242188","569.8200073242188","29447","Yahoo"
"49386","SXR8.DE","2024-10-22 02:00:00+02","571.3200073242188","572.1400146484375","569.4000244140625","571.6799926757812","571.6799926757812","22767","Yahoo"
"49387","SXR8.DE","2024-10-23 02:00:00+02","573.780029296875","574.5399780273438","570.02001953125","570.3400268554688","570.3400268554688","30994","Yahoo"
"49388","SXR8.DE","2024-10-24 02:00:00+02","570.780029296875","572.1799926757812","568.780029296875","568.97998046875","568.97998046875","21910","Yahoo"
"49389","SXR8.DE","2024-10-25 02:00:00+02","568.9600219726562","572.8800048828125","568.4199829101562","571.6799926757812","571.6799926757812","33049","Yahoo"
"49390","SXR8.DE","2024-10-28 01:00:00+01","572.1199951171875","572.47998046875","569.9000244140625","570.0999755859375","570.0999755859375","29186","Yahoo"
"49391","SXR8.DE","2024-10-29 01:00:00+01","570.5599975585938","572.2000122070312","569.5","571.260009765625","571.260009765625","21989","Yahoo"
"49392","SXR8.DE","2024-10-30 01:00:00+01","572","572.0999755859375","568.0399780273438","569.4199829101562","569.4199829101562","22450","Yahoo"
"49393","SXR8.DE","2024-10-31 01:00:00+01","562.9199829101562","563.739990234375","557.8599853515625","558.6599731445312","558.6599731445312","75976","Yahoo"
"49394","SXR8.DE","2024-11-01 01:00:00+01","557.4199829101562","562.6799926757812","556.4000244140625","561.739990234375","561.739990234375","50575","Yahoo"
"49395","SXR8.DE","2024-11-04 01:00:00+01","557.47998046875","557.9600219726562","554.52001953125","556.3800048828125","556.3800048828125","50010","Yahoo"
"49396","SXR8.DE","2024-11-05 01:00:00+01","556.5599975585938","560","555.3200073242188","559.4000244140625","559.4000244140625","51303","Yahoo"
"49397","SXR8.DE","2024-11-06 01:00:00+01","581.0399780273438","586.719970703125","579.5800170898438","582.4600219726562","582.4600219726562","100503","Yahoo"
"49398","SXR8.DE","2024-11-07 01:00:00+01","584.5800170898438","585.5800170898438","582.47998046875","585.4600219726562","585.4600219726562","53671","Yahoo"
"49399","SXR8.DE","2024-11-08 01:00:00+01","588.0599975585938","591.9400024414062","585.239990234375","591.9400024414062","591.9400024414062","34928","Yahoo"
"49400","SXR8.DE","2024-11-11 01:00:00+01","595.4199829101562","599.1199951171875","595.219970703125","597.5999755859375","597.5999755859375","70160","Yahoo"
"49401","SXR8.DE","2024-11-12 01:00:00+01","597.5399780273438","599.239990234375","596.9600219726562","597.9600219726562","597.9600219726562","45345","Yahoo"
"49402","SXR8.DE","2024-11-13 01:00:00+01","596.280029296875","600.6599731445312","593.97998046875","600.6599731445312","600.6599731445312","275926","Yahoo"
"49403","SXR8.DE","2024-11-14 01:00:00+01","600.9400024414062","604.760009765625","597.8800048828125","599.0800170898438","599.0800170898438","173107","Yahoo"
